Title,Authors,Journal,Year,Drug Discovery Status,Primary Target,AlphaFold Use Score,AlphaFold Use Evidence,PMID,DOI,PubMed URL,Publication Type,Keywords/MeSH,Abstract
Target Discovery Using Deep Learning-Based Molecular Docking and Predicted Protein Structures With AlphaFold for Novel Antipsychotics.,Kim Yangsik; Kim Seyong,Psychiatry investigation,2023,In Vitro (Biochemical),5-HT2A,4,AF used for structure prediction; structure from AF; docking on AF structure,37248690,10.30773/pi.2022.0343,https://pubmed.ncbi.nlm.nih.gov/37248690/,Journal Article,Antipsychotic; Clozapine; Drug discovery; Machine learning; Schizophrenia,"OBJECTIVE: New drugs are needed to treat antipsychotic-resistant schizophrenia, especially those with clozapine-resistant schizophrenia. Atypical antipsychotics have predominantly 5-HT2A and dopaminergic antagonism, but also require investigation of other receptors. METHODS: In this study, the binding affinities between clozapine, olanzapine, and quetiapine with neuropharmacological, immunological, and metabolic receptors were measured using GNINA (Deep Learning Based Molecular Docking) and AlphaFold (Predicted Protein Structures). RESULTS: Through this study, it was determined that these antipsychotics showed high binding affinity to a variety of receptors, such as CB2, 5-HT1BR, NPYR4, and CCR5. Cyclosporin A and everolimus which show high affinities with those receptors could be used for the development of new antipsychotic drugs based on these drugs. CONCLUSION: In the future, the method used in this study will be applied to the development of new antipsychotic drugs, including drug repositioning, and to the discovery of the pathophysiology of schizophrenia."
Pharmacoinformatic Investigation of Silymarin as a Potential Inhibitor against Nemopilema nomurai Jellyfish Metalloproteinase Toxin-like Protein.,Asirvatham Ravi Deva; Hwang Du Hyeon; Prakash Ramachandran Loganathan Mohan; Kang Changkeun; Kim Euikyung,International journal of molecular sciences,2023,In Vitro (Biochemical),protease,4,structure from AF; explicit AF usage stated; AF2/AF3/Multimer mentioned,37240317,10.3390/ijms24108972,https://pubmed.ncbi.nlm.nih.gov/37240317/,Journal Article,"alpha fold; jellyfish; metalloproteinase; molecular docking; molecular dynamics; transcriptomics; venom; Animals; Cnidarian Venoms; Silymarin; Cnidaria; Scyphozoa; Proteins; Metalloproteases; Toxins, Biological","Jellyfish stings pose a major threat to swimmers and fishermen worldwide. These creatures have explosive cells containing one large secretory organelle called a nematocyst in their tentacles, which contains venom used to immobilize prey. Nemopilema nomurai, a venomous jellyfish belonging to the phylum Cnidaria, produces venom (NnV) comprising various toxins known for their lethal effects on many organisms. Of these toxins, metalloproteinases (which belong to the toxic protease family) play a significant role in local symptoms such as dermatitis and anaphylaxis, as well as systemic reactions such as blood coagulation, disseminated intravascular coagulation, tissue injury, and hemorrhage. Hence, a potential metalloproteinase inhibitor (MPI) could be a promising candidate for reducing the effects of venom toxicity. For this study, we retrieved the Nemopilema nomurai venom metalloproteinase sequence (NnV-MPs) from transcriptome data and modeled its three-dimensional structure using AlphaFold2 in a Google Colab notebook. We employed a pharmacoinformatics approach to screen 39 flavonoids and identify the most potent inhibitor against NnV-MP. Previous studies have demonstrated the efficacy of flavonoids against other animal venoms. Based on our analysis, Silymarin emerged as the top inhibitor through ADMET, docking, and molecular dynamics analyses. In silico simulations provide detailed information on the toxin and ligand binding affinity. Our results demonstrate that Silymarin's strong inhibitory effect on NnV-MP is driven by hydrophobic affinity and optimal hydrogen bonding. These findings suggest that Silymarin could serve as an effective inhibitor of NnV-MP, potentially reducing the toxicity associated with jellyfish envenomation."
Improving the Modeling of Extracellular Ligand Binding Pockets in RosettaGPCR for Conformational Selection.,Liessmann Fabian; Künze Georg; Meiler Jens,International journal of molecular sciences,2023,In Vitro (Biochemical),GPCR,6,AF used for structure prediction; structure from AF; AF structure used for docking/screening; AF2/AF3/Multimer mentioned,37175495,10.3390/ijms24097788,https://pubmed.ncbi.nlm.nih.gov/37175495/,Journal Article,"Rosetta; RosettaGPCR; drug discovery; homology modeling; ligand docking; pocket refinement; Ligands; Binding Sites; Receptors, G-Protein-Coupled; Molecular Conformation; Drug Discovery; Protein Binding; Protein Conformation","G protein-coupled receptors (GPCRs) are the largest class of drug targets and undergo substantial conformational changes in response to ligand binding. Despite recent progress in GPCR structure determination, static snapshots fail to reflect the conformational space of putative binding pocket geometries to which small molecule ligands can bind. In comparative modeling of GPCRs in the absence of a ligand, often a shrinking of the orthosteric binding pocket is observed. However, the exact prediction of the flexible orthosteric binding site is crucial for adequate structure-based drug discovery. In order to improve ligand docking and guide virtual screening experiments in computer-aided drug discovery, we developed RosettaGPCRPocketSize. The algorithm creates a conformational ensemble of biophysically realistic conformations of the GPCR binding pocket between the TM bundle, which is consistent with a knowledge base of expected pocket geometries. Specifically, tetrahedral volume restraints are defined based on information about critical residues in the orthosteric binding site and their experimentally observed range of Cα-Cα-distances. The output of RosettaGPCRPocketSize is an ensemble of binding pocket geometries that are filtered by energy to ensure biophysically probable arrangements, which can be used for docking simulations. In a benchmark set, pocket shrinkage observed in the default RosettaGPCR was reduced by up to 80% and the binding pocket volume range and geometric diversity were increased. Compared to models from four different GPCR homology model databases (RosettaGPCR, GPCR-Tasser, GPCR-SSFE, and GPCRdb), the here-created models showed more accurate volumes of the orthosteric pocket when evaluated with respect to the crystallographic reference structure. Furthermore, RosettaGPCRPocketSize was able to generate an improved realistic pocket distribution. However, while being superior to other homology models, the accuracy of generated model pockets was comparable to AlphaFold2 models. Furthermore, in a docking benchmark using small-molecule ligands with a higher molecular weight between 400 and 700 Da, a higher success rate in creating native-like binding poses was observed. In summary, RosettaGPCRPocketSize can generate GPCR models with realistic orthosteric pocket volumes, which are useful for structure-based drug discovery applications."
"Solubilization, purification, and characterization of the hexameric form of phosphatidylserine synthase from Candida albicans.",Zhou Yue; Syed Jawhar H; Semchonok Dmitry A; Wright Edward; Kyrilis Fotis L; Hamdi Farzad; Kastritis Panagiotis L; Bruce Barry D; Reynolds Todd B,The Journal of biological chemistry,2023,In Vitro (Biochemical),protease,5,AF used for structure prediction; AF2/AF3/Multimer mentioned; activity data reported; synthesis reported,37116705,10.1016/j.jbc.2023.104756,https://pubmed.ncbi.nlm.nih.gov/37116705/,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",electron microscopy (EM); enzyme purification; fungi; membrane enzyme; membrane lipid; oligomer; Candida albicans; CDPdiacylglycerol-Serine O-Phosphatidyltransferase; Detergents; Digitonin,"Phosphatidylserine (PS) synthase from Candida albicans, encoded by the CHO1 gene, has been identified as a potential drug target for new antifungals against systemic candidiasis. Rational drug design or small molecule screening are effective ways to identify specific inhibitors of Cho1, but both will be facilitated by protein purification. Due to the transmembrane nature of Cho1, methods were needed to solubilize and purify the native form of Cho1. Here, we used six non-ionic detergents and three styrene maleic acids (SMAs) to solubilize an HA-tagged Cho1 protein from the total microsomal fractions. Blue native PAGE and immunoblot analysis revealed a single band corresponding to Cho1 in all detergent-solubilized fractions, while two bands were present in the SMA2000-solubilized fraction. Our enzymatic assay suggests that digitonin- or DDM-solubilized enzyme has the most PS synthase activity. Pull-downs of HA-tagged Cho1 from the digitonin-solubilized fraction reveal an apparent MW of Cho1 consistent with a hexamer. Furthermore, negative-staining electron microscopy analysis and AlphaFold2 structure prediction modeling suggest the hexamer is composed of a trimer of dimers. We purified Cho1 protein to near-homogeneity as a hexamer using affinity chromatography and TEV protease treatment, and optimized Cho1 enzyme activity for manganese and detergent concentrations, temperature (24 °C), and pH (8.0). The purified Cho1 has a Km for its substrate CDP-diacylglycerol of 72.20 μM with a Vmax of 0.079 nmol/(μg∗min) while exhibiting a sigmoidal kinetic curve for its other substrate serine, indicating cooperative binding. Purified hexameric Cho1 can potentially be used in downstream structure determination and small drug screening."
Functional metagenomics uncovers nitrile-hydrolysing enzymes in a coal metagenome.,Achudhan Arunmozhi Bharathi; Kannan Priya; Saleena Lilly M,Frontiers in molecular biosciences,2023,In Vitro (Biochemical),,6,AF used for structure prediction; structure from AF; explicit AF usage stated; AF2/AF3/Multimer mentioned,37006617,10.3389/fmolb.2023.1123902,https://pubmed.ncbi.nlm.nih.gov/37006617/,Journal Article,artificial intelligence; functional metagenomics; nitrilase; nitriles; unclassified microorganisms,"Introduction: Nitriles are the most toxic compounds that can lead to serious human illness through inhalation and consumption due to environmental pollution. Nitrilases can highly degrade nitriles isolated from the natural ecosystem. In the current study, we focused on the discovery of novel nitrilases from a coal metagenome using in silico mining. Methods: Coal metagenomic DNA was isolated and sequenced on the Illumina platform. Quality reads were assembled using MEGAHIT, and statistics were checked using QUAST. Annotation was performed using the automated tool SqueezeMeta. The annotated amino acid sequences were mined for nitrilase from the unclassified organism. Sequence alignment and phylogenetic analyses were carried out using ClustalW and MEGA11. Conserved regions of the amino acid sequences were identified using InterProScan and NCBI-CDD servers. The physicochemical properties of the amino acids were measured using ExPASy's ProtParam. Furthermore, NetSurfP was used for 2D structure prediction, while AlphaFold2 in Chimera X 1.4 was used for 3D structure prediction. To check the solvation of the predicted protein, a dynamic simulation was conducted on the WebGRO server. Ligands were extracted from the Protein Data Bank (PDB) for molecular docking upon active site prediction using the CASTp server. Results and discussion: In silico mining of annotated metagenomic data revealed nitrilase from unclassified Alphaproteobacteria. By using the artificial intelligence program AlphaFold2, the 3D structure was predicted with a per-residue confidence statistic score of about 95.8%, and the stability of the predicted model was verified with molecular dynamics for a 100-ns simulation. Molecular docking analysis determined the binding affinity of a novel nitrilase with nitriles. The binding scores produced by the novel nitrilase were approximately similar to those of the other prokaryotic nitrilase crystal structures, with a deviation of ±0.5."
"In silico
                    discovery of potent inhibitors against monkeypox's major structural proteins.",Lokhande Kiran Bharat; Shrivastava Ashish; Singh Ashutosh,Journal of biomolecular structure & dynamics,2023,In Vitro (Biochemical),,5,AF structure used for docking/screening; explicit AF usage stated; AF2/AF3/Multimer mentioned,36841550,10.1080/07391102.2023.2183342,https://pubmed.ncbi.nlm.nih.gov/36841550/,"Journal Article; Research Support, Non-U.S. Gov't","Human monkeypox virus; antiviral; drug design and development; drug repurposing; mechanistic approach; molecular docking; molecular dynamics simulation; Humans; Mpox, Monkeypox; Molecular Docking Simulation; Membrane Proteins; Computer Simulation; DNA Ligases","Monkeypox virus (MPXV) outbreak in non-endemic countries is a worldwide public health emergency. An enveloped double-stranded DNA virus belongs to the genus Orth poxvirus. A viral zoonotic infection known as monkeypox has been a serious risk to public health, especially in Africa. However, it has recently spread to other continents, so it might soon become a worldwide problem. There is an increased risk of transmission of the virus because there is a lack of effective treatment that cures the disease. To stop the multi-country outbreak from spreading, it is important to discover effective medications urgently. The objective of the current study is to swiftly find new treatments for the monkeypox virus using advanced computational approaches. By investigating five potential MPXV targets (DNA ligase, Palmytilated Extracellular Enveloped Virus (EEV) membrane protein, Scaffold protein D13, Thymidylate Kinase, and Viral core cysteine proteinase), this research was carried out using cutting-edge computational techniques against human monkeypox virus infection. Here we present the accurate 3D structures and their binding cavities of the selected targets with higher confidence using AlphaFold 2 and SiteMap analysis. Molecular docking and MD simulation analysis revealed the top five potential lead compounds with higher binding affinity and stability toward selected targets. Binding free energy calculations and other essential dynamics analysis supports the finding. The selected lead compounds utilizing virtual screening and drug repurposing approach reported in this study are beneficial for medical scientists and experimental biologists in drug development for the treatment of human MPXV.Communicated by Ramaswamy H. Sarma."
Scalable Inhibitors of the Nsp3-Nsp4 Coupling in SARS-CoV-2.,Azizogli Abdul-Rahman; Pai Varun; Coppola Francesco; Jafari Roya; Dodd-O Joseph B; Harish Rohan; Balasubramanian Bhavani; Kashyap Jatin; Acevedo-Jake Amanda M; Král Petr; Kumar Vivek A,ACS omega,2023,In Vitro (Biochemical),protease,3,AF used for structure prediction; AF2/AF3/Multimer mentioned,36798146,10.1021/acsomega.2c06384,https://pubmed.ncbi.nlm.nih.gov/36798146/,Journal Article,,"The human Betacoronavirus SARS-CoV-2 is a novel pathogen claiming millions of lives and causing a global pandemic that has disrupted international healthcare systems, economies, and communities. The virus is fast mutating and presenting more infectious but less lethal versions. Currently, some small-molecule therapeutics have received FDA emergency use authorization for the treatment of COVID-19, including Lagevrio (molnupiravir) and Paxlovid (nirmaltrevir/ritonavir), which target the RNA-dependent RNA polymerase and the 3CLpro main protease, respectively. Proteins downstream in the viral replication process, specifically the nonstructural proteins (Nsps1-16), are potential drug targets due to their crucial functions. Of these Nsps, Nsp4 is a particularly promising drug target due to its involvement in the SARS-CoV viral replication and double-membrane vesicle formation (mediated via interaction with Nsp3). Given the degree of sequence conservation of these two Nsps across the Betacoronavirus clade, their protein-protein interactions and functions are likely to be conserved as well in SARS-CoV-2. Through AlphaFold2 and its recent advancements, protein structures were generated of Nsp3 and 4 lumenal loops of interest. Then, using a combination of molecular docking suites and an existing library of lead-like compounds, we virtually screened 7 million ligands to identify five putative ligand inhibitors of Nsp4, which could present an alternative pharmaceutical approach against SARS-CoV-2. These ligands exhibit promising lead-like properties (ideal molecular weight and log P profiles), maintain fixed-Nsp4-ligand complexes in molecular dynamics (MD) simulations, and tightly associate with Nsp4 via hydrophobic interactions. Additionally, alternative peptide inhibitors based on Nsp3 were designed and shown in MD simulations to provide a highly stable binding to the Nsp4 protein. Finally, these therapeutics were attached to dendrimer structures to promote their multivalent binding with Nsp4, especially its large flexible luminal loop (Nsp4LLL). The therapeutics tested in this study represent many different approaches for targeting large flexible protein structures, especially those localized to the ER. This study is the first work targeting the membrane rearrangement system of viruses and will serve as a potential avenue for treating viruses with similar replicative function."
AlphaFold accelerates artificial intelligence powered drug discovery: efficient discovery of a novel CDK20 small molecule inhibitor.,Ren Feng; Ding Xiao; Zheng Min; Korzinkin Mikhail; Cai Xin; Zhu Wei; Mantsyzov Alexey; Aliper Alex; Aladinskiy Vladimir; Cao Zhongying; Kong Shanshan; Long Xi; Man Liu Bonnie Hei; Liu Yingtao; Naumov Vladimir; Shneyderman Anastasia; Ozerov Ivan V; Wang Ju; Pun Frank W; Polykovskiy Daniil A; Sun Chong; Levitt Michael; Aspuru-Guzik Alán; Zhavoronkov Alex,Chemical science,2023,In Vitro (Biochemical),CDK20,5,AF used for structure prediction; structure from AF; activity data reported; synthesis reported,36794205,10.1039/d2sc05709c,https://pubmed.ncbi.nlm.nih.gov/36794205/,Journal Article,,"The application of artificial intelligence (AI) has been considered a revolutionary change in drug discovery and development. In 2020, the AlphaFold computer program predicted protein structures for the whole human genome, which has been considered a remarkable breakthrough in both AI applications and structural biology. Despite the varying confidence levels, these predicted structures could still significantly contribute to structure-based drug design of novel targets, especially the ones with no or limited structural information. In this work, we successfully applied AlphaFold to our end-to-end AI-powered drug discovery engines, including a biocomputational platform PandaOmics and a generative chemistry platform Chemistry42. A novel hit molecule against a novel target without an experimental structure was identified, starting from target selection towards hit identification, in a cost- and time-efficient manner. PandaOmics provided the protein of interest for the treatment of hepatocellular carcinoma (HCC) and Chemistry42 generated the molecules based on the structure predicted by AlphaFold, and the selected molecules were synthesized and tested in biological assays. Through this approach, we identified a small molecule hit compound for cyclin-dependent kinase 20 (CDK20) with a binding constant Kd value of 9.2 ± 0.5 μM (n = 3) within 30 days from target selection and after only synthesizing 7 compounds. Based on the available data, a second round of AI-powered compound generation was conducted and through this, a more potent hit molecule, ISM042-2-048, was discovered with an average Kd value of 566.7 ± 256.2 nM (n = 3). Compound ISM042-2-048 also showed good CDK20 inhibitory activity with an IC50 value of 33.4 ± 22.6 nM (n = 3). In addition, ISM042-2-048 demonstrated selective anti-proliferation activity in an HCC cell line with CDK20 overexpression, Huh7, with an IC50 of 208.7 ± 3.3 nM, compared to a counter screen cell line HEK293 (IC50 = 1706.7 ± 670.0 nM). This work is the first demonstration of applying AlphaFold to the hit identification process in drug discovery."
A comprehensive survey of coronaviral main protease active site diversity in 3D: Identifying and analyzing drug discovery targets in search of broad specificity inhibitors for the next coronavirus pandemic.,Lubin Joseph H; Martinusen Samantha G; Zardecki Christine; Olivas Cassandra; Bacorn Mickayla; Balogun MaryAgnes; Slaton Ethan W; Wu Amy Wu; Sakeer Sarah; Hudson Brian P; Denard Carl A; Burley Stephen K; Khare Sagar D,bioRxiv : the preprint server for biology,2023,In Vitro (Biochemical),protease,4,AF used for structure prediction; AF2/AF3/Multimer mentioned; synthesis reported,36778399,10.1101/2023.01.30.526101,https://pubmed.ncbi.nlm.nih.gov/36778399/,Preprint; Journal Article,,"Although the rapid development of therapeutic responses to combat SARS-CoV-2 represents a great human achievement, it also demonstrates untapped potential for advanced pandemic preparedness. Cross-species efficacy against multiple human coronaviruses by the main protease (MPro) inhibitor nirmatrelvir raises the question of its breadth of inhibition and our preparedness against future coronaviral threats. Herein, we describe sequence and structural analyses of 346 unique MPro enzymes from all coronaviruses represented in the NCBI Virus database. Cognate substrates of these representative proteases were inferred from their polyprotein sequences. We clustered MPro sequences based on sequence identity and AlphaFold2-predicted structures, showing approximate correspondence with known viral subspecies. Predicted structures of five representative MPros bound to their inferred cognate substrates showed high conservation in protease:substrate interaction modes, with some notable differences. Yeast-based proteolysis assays of the five representatives were able to confirm activity of three on inferred cognate substrates, and demonstrated that of the three, only one was effectively inhibited by nirmatrelvir. Our findings suggest that comprehensive preparedness against future potential coronaviral threats will require continued inhibitor development. Our methods may be applied to candidate coronaviral MPro inhibitors to evaluate in advance the breadth of their inhibition and identify target coronaviruses potentially meriting advanced development of alternative countermeasures."
Discovery and biosynthesis of karnamicins as angiotensin converting enzyme inhibitors.,Yu Zhiyin; Huang Jian-Ping; Yang Jing; Liu Chongxi; Yan Yijun; Wang Li; Zhao Junwei; Chen Yin; Xiang Wensheng; Huang Sheng-Xiong,Nature communications,2023,In Vitro (Biochemical),,6,AF used for structure prediction; AF structure used for docking/screening; activity data reported; synthesis reported,36639377,10.1038/s41467-023-35829-1,https://pubmed.ncbi.nlm.nih.gov/36639377/,"Journal Article; Research Support, Non-U.S. Gov't",Angiotensin-Converting Enzyme Inhibitors; Molecular Docking Simulation; Antihypertensive Agents; Pyridines; Mixed Function Oxygenases; Thiazoles,"Angiotensin-converting enzyme inhibitors are widely used for treatment of hypertension and related diseases. Here, six karnamicins E1-E6 (1-6), which bear fully substituted hydroxypyridine and thiazole moieties are characterized from the rare actinobacterium Lechevalieria rhizosphaerae NEAU-A2. Through a combination of isotopic labeling, genome mining, and enzymatic characterization studies, the programmed assembly of the fully substituted hydroxypyridine moiety in karnamicin is proposed to be due to sequential operation of a hybrid polyketide synthase-nonribosomal peptide synthetase, two regioselective pyridine ring flavoprotein hydroxylases, and a methyltransferase. Based on AlphaFold protein structures predictions, molecular docking, and site-directed mutagenesis, we find that two pyridine hydroxylases deploy active site residues distinct from other flavoprotein monooxygenases to direct the chemo- and regioselective hydroxylation of the pyridine nucleus. Pleasingly, karnamicins show significant angiotensin-converting enzyme inhibitory activity with IC50 values ranging from 0.24 to 5.81 μM, suggesting their potential use for the treatment of hypertension and related diseases."
Identification of probable inhibitors for the DNA polymerase of the Monkeypox virus through the virtual screening approach.,Kumari Swati; Chakraborty Sayan; Ahmad Mohammed; Kumar Varun; Tailor Prafullakumar B; Biswal Bichitra K,International journal of biological macromolecules,2023,In Vitro (Biochemical),DNA polymerase,4,AF used for structure prediction; explicit AF usage stated,36584781,10.1016/j.ijbiomac.2022.12.252,https://pubmed.ncbi.nlm.nih.gov/36584781/,Journal Article; Retracted Publication,"DNA polymerase structure; Molecular docking; Monkeypox virus; Structure-based screening; Virtual screening; Humans; Monkeypox virus; Artificial Intelligence; Mpox, Monkeypox; DNA-Directed DNA Polymerase; Antiviral Agents","Given the paucity of antiviral treatments for monkeypox disease, caused by the Monkeypox virus (MPXV), there is a pressing need for the development/identification of new drugs to treat the infection. MPXV possesses a linear dsDNA genome that is replicated by a DNA replication complex of which DNA polymerase (DPol) forms an important component. Owing to the importance of DPol in the viral life cycle, identifying/designing small molecules abolishing its function could yield new antivirals. In this study, we first used the AlphaFold artificial intelligence program to model the 3D structure of the MPXV DPol; like the fold of DPol from other organisms, the MPXV DPol structure has the characteristic exonuclease, thumb, palm, and fingers sub-domains arrangement. Subsequently, we have identified several inhibitors through virtual screening of ZINC and antiviral libraries. Molecules with phenyl scaffold along with alanine-based and tetrazole-based molecules showed the best docking score of -8 to -10 kcal/mol. These molecules bind in the palm and fingers sub-domains interface region, which partially overlaps with the DNA binding path. The delineation of DPol/inhibitor interactions showed that majorly active site residues ASP549, ASP753, TYR550, ASN551, SER552, and ASN665 interact with the inhibitors. These compounds exhibit good Absorption, Distribution, Metabolism and Excretion properties."
SARS-CoV-2 receptor-binding domain deep mutational AlphaFold2 structures.,Kilim Oz; Mentes Anikó; Pál Balázs; Csabai István; Gellért Ákos,Scientific data,2023,In Vitro (Biochemical),,5,AF used for structure prediction; structure from AF; AF2/AF3 mentioned; AF2/AF3/Multimer mentioned,36918581,10.1038/s41597-023-02035-z,https://pubmed.ncbi.nlm.nih.gov/36918581/,Dataset; Journal Article,Humans; Computer Simulation; COVID-19; Furylfuramide; Mutation; SARS-CoV-2,"Leveraging recent advances in computational modeling of proteins with AlphaFold2 (AF2) we provide a complete curated data set of all single mutations from each of the 7 main SARS-CoV-2 lineages spike protein receptor binding domain (RBD) resulting in 3819X7 = 26733 PDB structures. We visualize the generated structures and show that AF2 pLDDT values are correlated with state-of-the-art disorder approximations, implying some internal protein dynamics are also captured by the model. Joint increasing mutational coverage of both structural and phenotype data coupled with advances in machine learning can be leveraged to accelerate virology research, specifically future variant prediction. We hope this data release can offer assistance into further understanding of the local and global mutational landscape of SARS-CoV-2 as well as provide insight into the biological understanding that 3D structure acts as a bridge between protein genotype and phenotype."
ImmuneBuilder: Deep-Learning models for predicting the structures of immune proteins.,Abanades Brennan; Wong Wing Ki; Boyles Fergus; Georges Guy; Bujotzek Alexander; Deane Charlotte M,Communications biology,2023,In Vitro (Biochemical),,3,AF used for structure prediction; AF2/AF3/Multimer mentioned,37248282,10.1038/s42003-023-04927-7,https://pubmed.ncbi.nlm.nih.gov/37248282/,"Journal Article; Research Support, Non-U.S. Gov't","Deep Learning; Single-Domain Antibodies; Models, Molecular; Antibodies; Receptors, Antigen, T-Cell","Immune receptor proteins play a key role in the immune system and have shown great promise as biotherapeutics. The structure of these proteins is critical for understanding their antigen binding properties. Here, we present ImmuneBuilder, a set of deep learning models trained to accurately predict the structure of antibodies (ABodyBuilder2), nanobodies (NanoBodyBuilder2) and T-Cell receptors (TCRBuilder2). We show that ImmuneBuilder generates structures with state of the art accuracy while being far faster than AlphaFold2. For example, on a benchmark of 34 recently solved antibodies, ABodyBuilder2 predicts CDR-H3 loops with an RMSD of 2.81Å, a 0.09Å improvement over AlphaFold-Multimer, while being over a hundred times faster. Similar results are also achieved for nanobodies, (NanoBodyBuilder2 predicts CDR-H3 loops with an average RMSD of 2.89Å, a 0.55Å improvement over AlphaFold2) and TCRs. By predicting an ensemble of structures, ImmuneBuilder also gives an error estimate for every residue in its final prediction. ImmuneBuilder is made freely available, both to download ( https://github.com/oxpig/ImmuneBuilder ) and to use via our webserver ( http://opig.stats.ox.ac.uk/webapps/newsabdab/sabpred ). We also make available structural models for ~150 thousand non-redundant paired antibody sequences ( https://doi.org/10.5281/zenodo.7258553 )."
Artificial Intelligence-based database for prediction of protein structure and their alterations in ocular diseases.,Cen Ling-Ping; Ng Tsz Kin; Ji Jie; Lin Jian-Wei; Yao Yao; Yang Rucui; Dong Geng; Cao Yingjie; Chen Chongbo; Yao Shi-Qi; Wang Wen-Ying; Huang Zijing; Qiu Kunliang; Pang Chi Pui; Liu Qingping; Zhang Mingzhi,Database : the journal of biological databases and curation,2023,Computational Only,,4,AF used for structure prediction; structure from AF; AF2/AF3/Multimer mentioned,38109881,10.1093/database/baad083,https://pubmed.ncbi.nlm.nih.gov/38109881/,"Journal Article; Research Support, Non-U.S. Gov't","Humans; Artificial Intelligence; Molecular Docking Simulation; Proteins; Algorithms; Eye Diseases; Databases, Protein; Protein Conformation","The aim of the study is to establish an online database for predicting protein structures altered in ocular diseases by Alphafold2 and RoseTTAFold algorithms. Totally, 726 genes of multiple ocular diseases were collected for protein structure prediction. Both Alphafold2 and RoseTTAFold algorithms were built locally using the open-source codebases. A dataset with 48 protein structures from Protein Data Bank (PDB) was adopted for algorithm set-up validation. A website was built to match ocular genes with the corresponding predicted tertiary protein structures for each amino acid sequence. The predicted local distance difference test-Cα (pLDDT) and template modeling (TM) scores of the validation protein structure and the selected ocular genes were evaluated. Molecular dynamics and molecular docking simulations were performed to demonstrate the applications of the predicted structures. For the validation dataset, 70.8% of the predicted protein structures showed pLDDT greater than 90. Compared to the PDB structures, 100% of the AlphaFold2-predicted structures and 97.9% of the RoseTTAFold-predicted structure showed TM score greater than 0.5. Totally, 1329 amino acid sequences of 430 ocular disease-related genes have been predicted, of which 75.9% showed pLDDT greater than 70 for the wildtype sequences and 76.1% for the variant sequences. Small molecule docking and molecular dynamics simulations revealed that the predicted protein structures with higher confidence scores showed similar molecular characteristics with the structures from PDB. We have developed an ocular protein structure database (EyeProdb) for ocular disease, which is released for the public and will facilitate the biological investigations and structure-based drug development for ocular diseases. Database URL:  http://eyeprodb.jsiec.org."
Quality Assessment of Selected Protein Structures Derived from Homology Modeling and AlphaFold.,Binbay Furkan Ayberk; Rathod Dhruv Chetanbhai; George Ajay Abisheck Paul; Imhof Diana,"Pharmaceuticals (Basel, Switzerland)",2023,Computational Only,,3,AF used for structure prediction; structure from AF,38139789,10.3390/ph16121662,https://pubmed.ncbi.nlm.nih.gov/38139789/,Journal Article,APC; AlphaFold; Gαi1; Gαs; hemopexin; homology modeling; protein model; quality assessment,"With technology advancing, many prediction algorithms have been developed to facilitate the modeling of inherently dynamic and flexible macromolecules such as proteins. Improvements in the prediction of protein structures have attracted a great deal of attention due to the advantages they offer, e.g., in drug design. While trusted experimental methods, such as X-ray crystallography, NMR spectroscopy, and electron microscopy, are preferred structure analysis techniques, in silico approaches are also being widely used. Two computational methods, which are on opposite ends of the spectrum with respect to their modus operandi, i.e., homology modeling and AlphaFold, have been established to provide high-quality structures. Here, a comparative study of the quality of structures either predicted by homology modeling or by AlphaFold is presented based on the characteristics determined by experimental studies using structure validation servers to fulfill the purpose. Although AlphaFold is able to predict high-quality structures, high-confidence parts are sometimes observed to be in disagreement with experimental data. On the other hand, while the structures obtained from homology modeling are successful in incorporating all aspects of the experimental structure used as a template, this method may struggle to accurately model a structure in the absence of a suitable template. In general, although both methods produce high-quality models, the criteria by which they are superior to each other are different and thus discussed in detail."
Integrating AlphaFold and deep learning for atomistic interpretation of cryo-EM maps.,Dai Xin; Wu Longlong; Yoo Shinjae; Liu Qun,Briefings in bioinformatics,2023,Computational Only,,3,AF used for structure prediction; structure from AF,37982712,10.1093/bib/bbad405,https://pubmed.ncbi.nlm.nih.gov/37982712/,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.","AlphaFold; cryo-electron microscopy; deep learning; protein model building; Cryoelectron Microscopy; Deep Learning; Models, Molecular; Molecular Conformation; Protein Conformation","Interpretation of cryo-electron microscopy (cryo-EM) maps requires building and fitting 3D atomic models of biological molecules. AlphaFold-predicted models generate initial 3D coordinates; however, model inaccuracy and conformational heterogeneity often necessitate labor-intensive manual model building and fitting into cryo-EM maps. In this work, we designed a protein model-building workflow, which combines a deep-learning cryo-EM map feature enhancement tool, CryoFEM (Cryo-EM Feature Enhancement Model) and AlphaFold. A benchmark test using 36 cryo-EM maps shows that CryoFEM achieves state-of-the-art performance in optimizing the Fourier Shell Correlations between the maps and the ground truth models. Furthermore, in a subset of 17 datasets where the initial AlphaFold predictions are less accurate, the workflow significantly improves their model accuracy. Our work demonstrates that the integration of modern deep learning image enhancement and AlphaFold may lead to automated model building and fitting for the atomistic interpretation of cryo-EM maps."
